,summary,Review,rating,ProductName,Url
461,Fabulous!,Best Seller SuperComNet ..Best Price ..,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5725
462,Awesome,Good product,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5726
463,Perfect product!,Good for my daughter,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5727
464,Super!,Fine,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5728
465,Fabulous!,Very good  and  very tasty,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5729
466,Terrific purchase,Valuable,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5730
467,Excellent,Grest,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5731
468,Very poor,Very bad service,1,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5732
469,Absolute rubbish!,"I am not happy, bad service, very very bad.",1,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5733
470,Awesome,Very Good Products,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5734
